publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,publisher,book_id
1852,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,eng,Intermediate,3.83,137858,fiction,HarperCollins Publishers,120
1909,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",eng,Intermediate,3.97,141110,genre fiction,"Amazon Digital Services,  Inc.",121
2006,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,en-US,Intermediate,4.02,163054,genre fiction,Simon and Schuster Digital Sales Inc,122
1995,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",en-US,Intermediate,4.08,98738,genre fiction,"Amazon Digital Services,  Inc.",123
2010,Freedom,Jonathan Franzen,en-US,Intermediate,3.73,119213,genre fiction,Random House LLC,124
2011,Crossed,Ally Condie,eng,Intermediate,3.52,100886,genre fiction,"Amazon Digital Services,  Inc.",125
2006,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,en-US,Intermediate,3.82,150222,genre fiction,Hachette Book Group,126
2008,The White Tiger,Aravind Adiga,eng,Intermediate,3.71,114531,genre fiction,Random House LLC,127
2001,The Corrections,Jonathan Franzen,eng,Intermediate,3.78,117657,genre fiction,"Amazon Digital Services,  Inc.",128
1995,Dreams from My Father,Barack Obama,eng,Intermediate,3.81,128961,nonfiction,HarperCollins Publishers,129
1980,Congo,Michael Crichton,eng,Intermediate,3.55,129811,nonfiction,Random House LLC,130
1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",en-CA,Intermediate,4.22,146073,genre fiction,"Amazon Digital Services,  Inc.",131
1999,Interpreter of Maladies,Jhumpa Lahiri,eng,Intermediate,4.12,110651,genre fiction,Penguin Group (USA) LLC,132
1980,A People's History of the United States: 1492 to Present ,Howard Zinn,eng,Intermediate,4.07,137372,genre fiction,"Amazon Digital Services,  Inc.",133
1958,Breakfast at Tiffany's,Truman Capote,eng,Intermediate,3.89,129778,genre fiction,"Amazon Digital Services,  Inc.",134
2010,The Passage,Justin Cronin,eng,Intermediate,4.04,126993,genre fiction,"Amazon Digital Services,  Inc.",135
2005,Anansi Boys,Neil Gaiman,eng,Intermediate,4.0,137639,nonfiction,"Amazon Digital Services,  Inc.",136
2009,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721,genre fiction,Penguin Group (USA) LLC,137
2014,Everything I Never Told You,Celeste Ng,eng,Intermediate,3.78,108703,genre fiction,"Amazon Digital Services,  Inc.",138
1982,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",en-US,Intermediate,4.2,119930,genre fiction,Simon and Schuster Digital Sales Inc,139
1979,The Dead Zone,Stephen King,en-US,Intermediate,3.9,132723,genre fiction,HarperCollins Publishers,140
